id,login,pass,surname,name,role
1205,Bragin_1205,202CB962AC59075B964B07152D234B70,Брагин,Грегор,player
1206,Konstantinov_1206,202CB962AC59075B964B07152D234B70,Константинов,Гастон,player
1207,Kornilov_1207,202CB962AC59075B964B07152D234B70,Корнилов,Герасим,player
1208,Avdeev_1208,202CB962AC59075B964B07152D234B70,Авдеев,Григорий,player
1209,Zikov_1209,202CB962AC59075B964B07152D234B70,Зыков,Гаяс,player
1210,Biryukov_1210,202CB962AC59075B964B07152D234B70,Бирюков,Герман,player
1211,SHarapov_1211,202CB962AC59075B964B07152D234B70,Шарапов,Гурий,player
1212,Nikonov_1212,202CB962AC59075B964B07152D234B70,Никонов,Гевор,player
1213,SH'ukin_1213,202CB962AC59075B964B07152D234B70,Щукин,Глеб,player
1214,Dyachkov_1214,202CB962AC59075B964B07152D234B70,Дьячков,Густав,player
1215,Odincov_1215,202CB962AC59075B964B07152D234B70,Одинцов,Геннадий,player
1216,Sazonov_1216,202CB962AC59075B964B07152D234B70,Сазонов,Годфрид,player
1217,YAkushev_1217,202CB962AC59075B964B07152D234B70,Якушев,ГенрихГ,player
1218,Krasilnikov_1218,202CB962AC59075B964B07152D234B70,Красильников,Гордей,player
1219,Gordeev_1219,202CB962AC59075B964B07152D234B70,Гордеев,Иакинф,player
1220,Samoilov_1220,202CB962AC59075B964B07152D234B70,Самойлов,Илиан,player
1221,Knyazev_1221,202CB962AC59075B964B07152D234B70,Князев,Ипполит ,player
1222,Bespalov_1222,202CB962AC59075B964B07152D234B70,Беспалов,Ибрагим ,player
1223,Uvarov_1223,202CB962AC59075B964B07152D234B70,Уваров,Илларион ,player
1224,SHashkov_1224,202CB962AC59075B964B07152D234B70,Шашков,Ираклий ,player
1225,Bobilev_1225,202CB962AC59075B964B07152D234B70,Бобылёв,Иван ,player
1226,Doronin_1226,202CB962AC59075B964B07152D234B70,Доронин,Илья ,player
1227,Belozerov_1227,202CB962AC59075B964B07152D234B70,Белозёров,Ираклий ,player
1228,Rozhkov_1228,202CB962AC59075B964B07152D234B70,Рожков,Иво,player
1229,Samsonov_1229,202CB962AC59075B964B07152D234B70,Самсонов,Имил ,player
1230,Myasnikov_1230,202CB962AC59075B964B07152D234B70,Мясников,Эмилий,player
1231,Lihachev_1231,202CB962AC59075B964B07152D234B70,Лихачёв,Иржи,player
1232,Burov_1232,202CB962AC59075B964B07152D234B70,Буров,Игнат,player
1233,Sisoev_1233,202CB962AC59075B964B07152D234B70,Сысоев,Игнатий,player
1234,Fomichev_1234,202CB962AC59075B964B07152D234B70,Фомичёв,Иннокентий,player
1235,Rusakov_1235,202CB962AC59075B964B07152D234B70,Русаков,Исаак ,player
1236,Strelkov_1236,202CB962AC59075B964B07152D234B70,Стрелков,Игорь ,player
1237,Gush'in_1237,202CB962AC59075B964B07152D234B70,Гущин,Ион ,player
1238,Teterin_1238,202CB962AC59075B964B07152D234B70,Тетерин,Исай ,player
1239,Kolobov_1239,202CB962AC59075B964B07152D234B70,Колобов,Иероним ,player
1240,Subbotin_1240,202CB962AC59075B964B07152D234B70,Субботин,Ионос ,player
1241,Fokin_1241,202CB962AC59075B964B07152D234B70,Фокин,Исайя ,player
1242,Blohin_1242,202CB962AC59075B964B07152D234B70,Блохин,Измаил ,player
1243,Seliverstov_1243,202CB962AC59075B964B07152D234B70,Селиверстов,Изяслав,player
1244,Pestov_1244,202CB962AC59075B964B07152D234B70,Пестов,Ипат,player
1245,Kondratev_1245,202CB962AC59075B964B07152D234B70,Кондратьев,Израиль ,player
1246,Silin_1246,202CB962AC59075B964B07152D234B70,Силин,Иосиф,player
1247,Merkushev_1247,202CB962AC59075B964B07152D234B70,Меркушев,Осип,player
1248,Litkin_1248,202CB962AC59075B964B07152D234B70,Лыткин,Исидор,player
1249,Turov_1249,202CB962AC59075B964B07152D234B70,Туров,Сидор,player
